,Filename,FILES_RECEIPTS,INSTITUTIONCODE,REPORTINGDATE,EDI_RECEIPTS,BSIS_RECEIPTS,BSIS_FINAL_RECEIPTS
40,A1241078310322.xls,300,A124,2022-03-31,300.0,300.0,300.0
41,A1241078310323.xls,306,A124,2023-03-31,306.0,306.0,306.0
42,A1241078310324.xls,248,A124,2024-03-31,1400.0,1152.0,1152.0
43,A1241078310520.xls,259,A124,2020-05-31,205.0,205.0,205.0
44,A1241078310521.xls,223,A124,2021-05-31,223.0,223.0,223.0
45,A1241078310522.xls,299,A124,2022-05-31,299.0,299.0,299.0
46,A1241078310523.xls,299,A124,2023-05-31,299.0,299.0,299.0
47,A1241078310524.xls,306,A124,2024-05-31,306.0,306.0,
48,A1241078310720.xls,215,A124,2020-07-31,215.0,215.0,215.0
49,A1241078310721.xls,228,A124,2021-07-31,228.0,228.0,228.0
50,A1241078310722.xls,240,A124,2022-07-31,240.0,240.0,240.0
51,A1241078310723.xls,287,A124,2023-07-31,287.0,287.0,287.0
52,A1241078310724.xls,290,A124,2024-07-31,290.0,290.0,290.0
53,A1241078310820.xls,242,A124,2020-08-31,40.0,40.0,40.0
54,A1241078310821.xls,328,A124,2021-08-31,328.0,328.0,328.0
55,A1241078310822.xls,286,A124,2022-08-31,286.0,286.0,286.0
56,A1241078310823.xls,318,A124,2023-08-31,318.0,318.0,318.0
57,A1241078310824.xls,230,A124,2024-08-31,230.0,230.0,230.0
58,A1241078311020.xls,245,A124,2020-10-31,245.0,245.0,245.0
59,A1241078311021.xls,267,A124,2021-10-31,267.0,267.0,267.0
60,A1241078311022.xls,242,A124,2022-10-31,242.0,242.0,242.0
61,A1241078311023.xls,292,A124,2023-10-31,292.0,292.0,292.0
62,A1241078311024.xls,262,A124,2024-10-31,262.0,262.0,262.0
63,A1241078311220.xls,275,A124,2020-12-31,275.0,275.0,275.0
64,A1241078311221.xls,316,A124,2021-12-31,316.0,316.0,316.0
65,A1241078311222.xls,297,A124,2022-12-31,297.0,297.0,297.0
66,A1241078311223.xls,256,A124,2023-12-31,256.0,256.0,256.0
67,A1241078311224.xls,240,A124,2024-12-31,240.0,240.0,240.0
68,A1251078280221.xls,1208,A125,2021-02-28,1208.0,1208.0,1208.0
69,A1251078280222.xls,1141,A125,2022-02-28,1141.0,1141.0,1141.0
70,A1251078280223.xls,635,A125,2023-02-28,634.0,634.0,634.0
71,A1251078290220.xls,Error: Number of passed names did not match number of header fields in the file (sheet: ITRS2_URT_RECEIPTS),,,,,
72,A1251078290224.xls,613,A125,2024-02-29,1575.0,962.0,962.0
73,A1251078300420.xls,44,A125,2020-04-30,44.0,44.0,44.0
74,A1251078300421.xls,1208,A125,2021-04-30,1208.0,1208.0,1208.0
75,A1251078300422.xls,888,A125,2022-04-30,888.0,888.0,888.0
76,A1251078300423.xls,1190,A125,2023-04-30,1189.0,1189.0,1189.0
77,A1251078300424.xls,402,A125,2024-04-30,1972.0,1570.0,1570.0
78,A1251078300620.xls,44,A125,2020-06-30,12.0,12.0,12.0
79,A1251078300621.xls,1208,A125,2021-06-30,1208.0,1208.0,1208.0
80,A1251078300622.xls,1089,A125,2022-06-30,1089.0,1089.0,1089.0
81,A1251078300623.xls,963,A125,2023-06-30,962.0,962.0,962.0
82,A1251078300624.xls,1326,A125,2024-06-30,753.0,753.0,753.0
83,A1251078300920.xls,185,A125,2020-09-30,185.0,185.0,185.0
84,A1251078300921.xls,1928,A125,2021-09-30,1928.0,1928.0,1928.0
85,A1251078300922.xls,751,A125,2022-09-30,751.0,751.0,751.0
86,A1251078300923.xls,1327,A125,2023-09-30,1327.0,1326.0,1326.0
87,A1251078300924.xls,5661,A125,2024-09-30,5661.0,5661.0,5661.0
88,A1251078301120.xls,1208,A125,2020-11-30,1208.0,1208.0,1208.0
89,A1251078301121.xls,74,A125,2021-11-30,74.0,74.0,74.0
90,A1251078301122.xls,1401,A125,2022-11-30,1401.0,1401.0,1401.0
91,A1251078301123.xls,1712,A125,2023-11-30,1712.0,1711.0,1711.0
92,A1251078301124.xls,5129,A125,2024-11-30,5129.0,5129.0,5129.0
93,A1251078310120.xls,Error: Number of passed names did not match number of header fields in the file (sheet: ITRS2_URT_RECEIPTS),,,,,
94,A1251078310121.xls,1208,A125,2021-01-31,1208.0,1208.0,1208.0
95,A1251078310122.xls,416,A125,2022-01-31,416.0,416.0,416.0
96,A1251078310123.xls,1304,A125,2023-01-31,1303.0,1303.0,1303.0
97,A1251078310124.xls,921,A125,2024-01-31,2142.0,1221.0,1221.0
98,A1251078310320.xls,44,A125,2020-03-31,44.0,44.0,44.0
99,A1251078310321.xls,1208,A125,2021-03-31,1172.0,1172.0,1172.0
100,A1251078310322.xls,556,A125,2022-03-31,556.0,556.0,556.0
101,A1251078310323.xls,198,A125,2023-03-31,198.0,198.0,198.0
102,A1251078310324.xls,1192,A125,2024-03-31,2617.0,1425.0,1425.0
103,A1251078310520.xls,44,A125,2020-05-31,12.0,12.0,12.0
104,A1251078310521.xls,1208,A125,2021-05-31,1208.0,1208.0,1208.0
105,A1251078310522.xls,1418,A125,2022-05-31,1418.0,1418.0,1418.0
106,A1251078310523.xls,1323,A125,2023-05-31,1322.0,1322.0,1322.0
107,A1251078310524.xls,402,A125,2024-05-31,1972.0,1570.0,1570.0
108,A1251078310720.xls,44,A125,2020-07-31,44.0,44.0,44.0
109,A1251078310721.xls,139,A125,2021-07-31,139.0,139.0,139.0
110,A1251078310722.xls,800,A125,2022-07-31,800.0,800.0,800.0
111,A1251078310723.xls,714,A125,2023-07-31,714.0,714.0,714.0
112,A1251078310724.xls,1326,A125,2024-07-31,1326.0,1326.0,1326.0
113,A1251078310820.xls,44,A125,2020-08-31,44.0,44.0,44.0
114,A1251078310821.xls,91,A125,2021-08-31,91.0,91.0,91.0
115,A1251078310822.xls,1364,A125,2022-08-31,1364.0,1364.0,1364.0
116,A1251078310823.xls,2054,A125,2023-08-31,2054.0,2054.0,2054.0
117,A1251078310824.xls,7697,A125,2024-08-31,7697.0,7697.0,7697.0
118,A1251078311020.xls,185,A125,2020-10-31,185.0,185.0,185.0
119,A1251078311021.xls,74,A125,2021-10-31,74.0,74.0,74.0
120,A1251078311022.xls,800,A125,2022-10-31,800.0,800.0,800.0
121,A1251078311023.xls,1207,A125,2023-10-31,1207.0,1206.0,1206.0
122,A1251078311024.xls,7449,A125,2024-10-31,7449.0,7449.0,7449.0
123,A1251078311220.xls,1208,A125,2020-12-31,1208.0,1208.0,1208.0
124,A1251078311221.xls,153,A125,2021-12-31,153.0,153.0,153.0
125,A1251078311222.xls,1524,A125,2022-12-31,1523.0,1523.0,1523.0
126,A1251078311223.xls,901,A125,2023-12-31,901.0,902.0,902.0
127,A1251078311224.xls,5515,A125,2024-12-31,5515.0,5515.0,5515.0
128,A1281078280221.xls,245,A128,2021-02-28,244.0,244.0,244.0
129,A1281078280222.xls,386,A128,2022-02-28,,384.0,384.0
130,A1281078280223.xls,418,A128,2023-02-28,418.0,418.0,418.0
131,A1281078290220.xls,Error: Number of passed names did not match number of header fields in the file (sheet: ITRS2_URT_RECEIPTS),,,,,
132,A1281078290224.xls,299,A128,2024-02-29,509.0,299.0,210.0
133,A1281078300421.xls,348,A128,2021-04-30,344.0,344.0,344.0
134,A1281078300422.xls,437,A128,2022-04-30,437.0,437.0,437.0
135,A1281078300423.xls,429,A128,2023-04-30,429.0,429.0,429.0
136,A1281078300424.xls,291,A128,2024-04-30,486.0,291.0,195.0
137,A1281078300621.xls,411,A128,2021-06-30,380.0,380.0,380.0
138,A1281078300622.xls,564,A128,2022-06-30,564.0,564.0,564.0
139,A1281078300623.xls,519,A128,2023-06-30,519.0,519.0,519.0
140,A1281078300624.xls,502,A128,2024-06-30,296.0,296.0,296.0
141,A1281078300920.xls,416,A128,2020-09-30,416.0,416.0,416.0
142,A1281078300921.xls,513,A128,2021-09-30,513.0,513.0,513.0
143,A1281078300922.xls,529,A128,2022-09-30,529.0,529.0,529.0
144,A1281078300923.xls,464,A128,2023-09-30,464.0,464.0,464.0
145,A1281078300924.xls,545,A128,2024-09-30,545.0,545.0,545.0
146,A1281078301120.xls,368,A128,2020-11-30,365.0,365.0,365.0
147,A1281078301121.xls,549,A128,2021-11-30,549.0,549.0,549.0
148,A1281078301122.xls,536,A128,2022-11-30,536.0,536.0,536.0
149,A1281078301123.xls,482,A128,2023-11-30,482.0,482.0,482.0
150,A1281078301124.xls,468,A128,2024-11-30,271.0,271.0,271.0
151,A1281078310121.xls,367,A128,2021-01-31,351.0,351.0,351.0
152,A1281078310122.xls,545,A128,2022-01-31,545.0,545.0,545.0
153,A1281078310123.xls,474,A128,2023-01-31,474.0,474.0,474.0
154,A1281078310124.xls,451,A128,2024-01-31,737.0,451.0,286.0
155,A1281078310321.xls,412,A128,2021-03-31,410.0,410.0,410.0
156,A1281078310322.xls,494,A128,2022-03-31,494.0,494.0,494.0
157,A1281078310323.xls,453,A128,2023-03-31,453.0,453.0,453.0
158,A1281078310324.xls,359,A128,2024-03-31,646.0,359.0,287.0
159,A1281078310521.xls,342,A128,2021-05-31,339.0,339.0,339.0
160,A1281078310522.xls,534,A128,2022-05-31,534.0,534.0,534.0
161,A1281078310523.xls,481,A128,2023-05-31,481.0,481.0,481.0
162,A1281078310524.xls,449,A128,2024-05-31,759.0,449.0,310.0
163,A1281078310721.xls,466,A128,2021-07-31,453.0,453.0,453.0
164,A1281078310722.xls,538,A128,2022-07-31,537.0,537.0,537.0
165,A1281078310723.xls,479,A128,2023-07-31,479.0,479.0,479.0
166,A1281078310724.xls,546,A128,2024-07-31,546.0,546.0,546.0
167,A1281078310820.xls,370,A128,2020-08-31,7.0,7.0,7.0
168,A1281078310821.xls,480,A128,2021-08-31,480.0,480.0,480.0
169,A1281078310822.xls,581,A128,2022-08-31,581.0,581.0,581.0
170,A1281078310823.xls,486,A128,2023-08-31,486.0,486.0,486.0
171,A1281078310824.xls,456,A128,2024-08-31,456.0,456.0,456.0
172,A1281078311020.xls,355,A128,2020-10-31,355.0,355.0,355.0
173,A1281078311021.xls,520,A128,2021-10-31,520.0,520.0,520.0
174,A1281078311022.xls,511,A128,2022-10-31,511.0,511.0,511.0
175,A1281078311023.xls,454,A128,2023-10-31,454.0,454.0,454.0
176,A1281078311024.xls,456,A128,2024-10-31,456.0,456.0,456.0
177,A1281078311220.xls,423,A128,2020-12-31,423.0,423.0,423.0
178,A1281078311221.xls,413,A128,2021-12-31,413.0,413.0,413.0
179,A1281078311222.xls,597,A128,2022-12-31,597.0,597.0,597.0
180,A1281078311223.xls,457,A128,2023-12-31,457.0,457.0,457.0
181,A1281078311224.xls,469,A128,2024-12-31,469.0,469.0,469.0
182,A1291078280221.xls,5211,A129,2021-02-28,5210.0,5210.0,5210.0
183,A1291078280222.xls,5531,A129,2022-02-28,3776.0,3776.0,3776.0
184,A1291078280223.xls,9381,A129,2023-02-28,9380.0,9380.0,9380.0
185,A1291078290220.xls,Error: Number of passed names did not match number of header fields in the file (sheet: ITRS2_URT_RECEIPTS),,,,,
186,A1291078290224.xls,10754,A129,2024-02-29,10755.0,10754.0,1.0
187,A1291078300420.xls,6025,A129,2020-04-30,5516.0,5516.0,5516.0
188,A1291078300421.xls,5529,A129,2021-04-30,5528.0,5528.0,5528.0
189,A1291078300422.xls,6278,A129,2022-04-30,6277.0,6277.0,6277.0
190,A1291078300423.xls,9008,A129,2023-04-30,9007.0,9007.0,17884.0
191,A1291078300424.xls,9746,A129,2024-04-30,14726.0,9746.0,4980.0
192,A1291078300620.xls,5176,A129,2020-06-30,5173.0,5173.0,5173.0
193,A1291078300621.xls,6207,A129,2021-06-30,1968.0,1968.0,1968.0
194,A1291078300622.xls,7743,A129,2022-06-30,7742.0,7742.0,7742.0
195,A1291078300623.xls,10000,A129,2023-06-30,,,9999.0
196,A1291078300624.xls,11263,A129,2024-06-30,5893.0,5893.0,5893.0
197,A1291078300920.xls,2627,A129,2020-09-30,2626.0,2626.0,2626.0
198,A1291078300921.xls,7621,A129,2021-09-30,7620.0,7620.0,7620.0
199,A1291078300922.xls,8490,A129,2022-09-30,8489.0,8489.0,8489.0
200,A1291078300924.xls,13357,A129,2024-09-30,13357.0,13357.0,13357.0
201,A1291078301120.xls,2750,A129,2020-11-30,2749.0,2749.0,2749.0
202,A1291078301121.xls,8812,A129,2021-11-30,7619.0,7619.0,7619.0
203,A1291078301122.xls,9738,A129,2022-11-30,9736.0,9736.0,9736.0
204,A1291078301124.xls,12874,A129,2024-11-30,12874.0,12874.0,12874.0
205,A1291078310120.xls,Error: Number of passed names did not match number of header fields in the file (sheet: ITRS2_URT_RECEIPTS),,,,,
206,A1291078310121.xls,1967,A129,2021-01-31,1966.0,1966.0,1966.0
207,A1291078310122.xls,5758,A129,2022-01-31,5756.0,5756.0,5756.0
208,A1291078310123.xls,9358,A129,2023-01-31,9357.0,9357.0,9357.0
209,A1291078310124.xls,11632,A129,2024-01-31,11632.0,11632.0,
210,A1291078310320.xls,5712,A129,2020-03-31,5711.0,5711.0,5711.0
211,A1291078310321.xls,6141,A129,2021-03-31,6140.0,6140.0,6140.0
212,A1291078310322.xls,6360,A129,2022-03-31,6359.0,6359.0,6359.0
213,A1291078310323.xls,9573,A129,2023-03-31,9572.0,9572.0,9572.0
214,A1291078310324.xls,11006,A129,2024-03-31,16696.0,11006.0,5690.0
215,A1291078310520.xls,2456,A129,2020-05-31,2005.0,2005.0,2005.0
216,A1291078310521.xls,5327,A129,2021-05-31,5326.0,5326.0,5326.0
217,A1291078310522.xls,5881,A129,2022-05-31,5880.0,5880.0,5880.0
218,A1291078310523.xls,10000,A129,2023-05-31,10000.0,10000.0,19991.0
219,A1291078310524.xls,11168,A129,2024-05-31,17761.0,11168.0,6593.0
220,A1291078310720.xls,6070,A129,2020-07-31,6069.0,6069.0,6069.0
221,A1291078310721.xls,2764,A129,2021-07-31,2763.0,2763.0,2763.0
222,A1291078310722.xls,9005,A129,2022-07-31,6122.0,6122.0,6122.0
223,A1291078310723.xls,9590,A129,2023-07-31,9590.0,9590.0,
224,A1291078310724.xls,13964,A129,2024-07-31,13964.0,13964.0,13964.0
225,A1291078310820.xls,2452,A129,2020-08-31,2451.0,2451.0,2451.0
226,A1291078310821.xls,5297,A129,2021-08-31,5296.0,5296.0,5296.0
227,A1291078310822.xls,7052,A129,2022-08-31,7051.0,7051.0,7051.0
228,A1291078310824.xls,13552,A129,2024-08-31,13552.0,13552.0,13552.0
229,A1291078311020.xls,2665,A129,2020-10-31,2664.0,2664.0,2664.0
230,A1291078311021.xls,7799,A129,2021-10-31,7798.0,7798.0,7798.0
231,A1291078311022.xls,8952,A129,2022-10-31,8949.0,8949.0,8949.0
232,A1291078311024.xls,14408,A129,2024-10-31,14408.0,14408.0,14408.0
233,A1291078311220.xls,3548,A129,2020-12-31,3547.0,3547.0,3547.0
234,A1291078311221.xls,9872,A129,2021-12-31,9871.0,9871.0,9871.0
235,A1291078311222.xls,10000,A129,2022-12-31,9999.0,9999.0,9999.0
236,A1291078311223.xls,11524,A129,2023-12-31,,,
237,A1291078311224.xls,15009,A129,2024-12-31,15009.0,15009.0,15009.0
238,A1321078301124.xls,1,A132,2024-11-30,,,
239,A1341078280221.xls,86,A134,2021-02-28,86.0,86.0,86.0
240,A1341078280222.xls,101,A134,2022-02-28,101.0,101.0,101.0
241,A1341078280223.xls,90,A134,2023-02-28,90.0,90.0,90.0
242,A1341078290220.xls,Error: Number of passed names did not match number of header fields in the file (sheet: ITRS2_URT_RECEIPTS),,,,,
243,A1341078290224.xls,101,A134,2024-02-29,161.0,101.0,60.0
244,A1341078300420.xls,83,A134,2020-04-30,83.0,83.0,83.0
245,A1341078300421.xls,113,A134,2021-04-30,113.0,113.0,113.0
246,A1341078300422.xls,91,A134,2022-04-30,91.0,91.0,91.0
247,A1341078300423.xls,120,A134,2023-04-30,120.0,120.0,120.0
248,A1341078300424.xls,100,A134,2024-04-30,155.0,100.0,55.0
249,A1341078300620.xls,128,A134,2020-06-30,68.0,68.0,68.0
250,A1341078300621.xls,130,A134,2021-06-30,130.0,130.0,130.0
251,A1341078300622.xls,130,A134,2022-06-30,130.0,130.0,130.0
252,A1341078300623.xls,115,A134,2023-06-30,115.0,115.0,115.0
253,A1341078300624.xls,91,A134,2024-06-30,144.0,144.0,144.0
254,A1341078300920.xls,128,A134,2020-09-30,128.0,128.0,128.0
255,A1341078300921.xls,104,A134,2021-09-30,104.0,104.0,104.0
256,A1341078300922.xls,94,A134,2022-09-30,94.0,94.0,94.0
257,A1341078300923.xls,106,A134,2023-09-30,106.0,106.0,106.0
258,A1341078300924.xls,71,A134,2024-09-30,71.0,71.0,71.0
259,A1341078301120.xls,128,A134,2020-11-30,128.0,128.0,128.0
260,A1341078301121.xls,100,A134,2021-11-30,100.0,100.0,100.0
261,A1341078301122.xls,110,A134,2022-11-30,110.0,110.0,110.0
262,A1341078301123.xls,107,A134,2023-11-30,107.0,107.0,107.0
263,A1341078301124.xls,73,A134,2024-11-30,73.0,73.0,73.0
264,A1341078310120.xls,Error: Number of passed names did not match number of header fields in the file (sheet: ITRS2_URT_RECEIPTS),,,,,
265,A1341078310121.xls,76,A134,2021-01-31,76.0,76.0,76.0
266,A1341078310122.xls,111,A134,2022-01-31,111.0,111.0,111.0
267,A1341078310123.xls,121,A134,2023-01-31,121.0,121.0,121.0
268,A1341078310124.xls,108,A134,2024-01-31,177.0,108.0,69.0
269,A1341078310320.xls,93,A134,2020-03-31,93.0,93.0,93.0
270,A1341078310321.xls,136,A134,2021-03-31,136.0,136.0,136.0
271,A1341078310322.xls,91,A134,2022-03-31,91.0,91.0,91.0
272,A1341078310323.xls,81,A134,2023-03-31,81.0,81.0,81.0
273,A1341078310324.xls,105,A134,2024-03-31,165.0,105.0,60.0
274,A1341078310520.xls,64,A134,2020-05-31,32.0,32.0,32.0
275,A1341078310521.xls,120,A134,2021-05-31,120.0,120.0,120.0
276,A1341078310522.xls,130,A134,2022-05-31,130.0,130.0,130.0
277,A1341078310523.xls,116,A134,2023-05-31,116.0,116.0,116.0
278,A1341078310524.xls,103,A134,2024-05-31,194.0,103.0,91.0
279,A1341078310720.xls,123,A134,2020-07-31,123.0,123.0,123.0
280,A1341078310721.xls,110,A134,2021-07-31,110.0,110.0,110.0
281,A1341078310722.xls,100,A134,2022-07-31,100.0,100.0,100.0
282,A1341078310723.xls,113,A134,2023-07-31,113.0,113.0,113.0
283,A1341078310724.xls,108,A134,2024-07-31,108.0,108.0,108.0
284,A1341078310820.xls,119,A134,2020-08-31,119.0,119.0,119.0
285,A1341078310821.xls,116,A134,2021-08-31,116.0,116.0,116.0
286,A1341078310822.xls,102,A134,2022-08-31,102.0,102.0,102.0
287,A1341078310823.xls,102,A134,2023-08-31,102.0,102.0,102.0
288,A1341078310824.xls,115,A134,2024-08-31,115.0,115.0,115.0
289,A1341078311020.xls,74,A134,2020-10-31,74.0,74.0,74.0
290,A1341078311021.xls,105,A134,2021-10-31,105.0,105.0,105.0
291,A1341078311022.xls,105,A134,2022-10-31,105.0,105.0,105.0
292,A1341078311023.xls,100,A134,2023-10-31,100.0,100.0,100.0
293,A1341078311024.xls,86,A134,2024-10-31,86.0,86.0,86.0
294,A1341078311220.xls,60,A134,2020-12-31,60.0,60.0,60.0
295,A1341078311221.xls,61,A134,2021-12-31,61.0,61.0,61.0
296,A1341078311222.xls,114,A134,2022-12-31,114.0,114.0,114.0
297,A1341078311223.xls,80,A134,2023-12-31,80.0,80.0,80.0
298,A1341078311224.xls,80,A134,2024-12-31,80.0,80.0,80.0
299,A1361078280221.xls,17,A136,2021-02-28,17.0,17.0,17.0
300,A1361078280222.xls,16,A136,2022-02-28,16.0,16.0,16.0
301,A1361078280223.xls,16,A136,2023-02-28,16.0,16.0,16.0
302,A1361078290220.xls,Error: Number of passed names did not match number of header fields in the file (sheet: ITRS2_URT_RECEIPTS),,,,,
303,A1361078290224.xls,16,A136,2024-02-29,353.0,337.0,337.0
304,A1361078300420.xls,16,A136,2020-04-30,16.0,16.0,16.0
305,A1361078300421.xls,17,A136,2021-04-30,17.0,17.0,17.0
306,A1361078300422.xls,16,A136,2022-04-30,16.0,16.0,16.0
307,A1361078300423.xls,17,A136,2023-04-30,17.0,17.0,17.0
308,A1361078300424.xls,16,A136,2024-04-30,17.0,16.0,1.0
309,A1361078300620.xls,18,A136,2020-06-30,18.0,18.0,18.0
310,A1361078300621.xls,16,A136,2021-06-30,16.0,16.0,16.0
311,A1361078300622.xls,16,A136,2022-06-30,16.0,16.0,16.0
312,A1361078300623.xls,16,A136,2023-06-30,16.0,16.0,16.0
313,A1361078300624.xls,16,A136,2024-06-30,2211.0,2211.0,2211.0
314,A1361078300920.xls,16,A136,2020-09-30,16.0,16.0,16.0
315,A1361078300921.xls,15,A136,2021-09-30,15.0,15.0,15.0
316,A1361078300922.xls,16,A136,2022-09-30,16.0,16.0,16.0
317,A1361078300923.xls,16,A136,2023-09-30,16.0,16.0,16.0
318,A1361078300924.xls,16,A136,2024-09-30,16.0,16.0,16.0
319,A1361078301120.xls,16,A136,2020-11-30,16.0,16.0,16.0
320,A1361078301121.xls,15,A136,2021-11-30,15.0,15.0,15.0
321,A1361078301122.xls,16,A136,2022-11-30,16.0,16.0,16.0
322,A1361078301123.xls,16,A136,2023-11-30,1.0,1.0,1.0
323,A1361078301124.xls,16,A136,2024-11-30,16.0,16.0,16.0
324,A1361078310120.xls,Error: Number of passed names did not match number of header fields in the file (sheet: ITRS2_URT_RECEIPTS),,,,,
325,A1361078310121.xls,16,A136,2021-01-31,16.0,16.0,16.0
326,A1361078310122.xls,18,A136,2022-01-31,18.0,18.0,18.0
327,A1361078310123.xls,16,A136,2023-01-31,16.0,16.0,16.0
328,A1361078310124.xls,17,A136,2024-01-31,341.0,324.0,324.0
329,A1361078310320.xls,15,A136,2020-03-31,15.0,15.0,15.0
330,A1361078310321.xls,18,A136,2021-03-31,18.0,18.0,18.0
331,A1361078310322.xls,16,A136,2022-03-31,16.0,16.0,16.0
332,A1361078310323.xls,17,A136,2023-03-31,17.0,17.0,17.0
333,A1361078310324.xls,16,A136,2024-03-31,322.0,306.0,306.0
334,A1361078310520.xls,16,A136,2020-05-31,13.0,13.0,13.0
335,A1361078310521.xls,14,A136,2021-05-31,14.0,14.0,14.0
336,A1361078310522.xls,15,A136,2022-05-31,15.0,15.0,15.0
337,A1361078310523.xls,16,A136,2023-05-31,16.0,16.0,16.0
338,A1361078310524.xls,17,A136,2024-05-31,18.0,17.0,1.0
339,A1361078310720.xls,18,A136,2020-07-31,18.0,18.0,18.0
340,A1361078310721.xls,15,A136,2021-07-31,15.0,15.0,15.0
341,A1361078310722.xls,17,A136,2022-07-31,17.0,17.0,17.0
342,A1361078310723.xls,16,A136,2023-07-31,16.0,16.0,16.0
343,A1361078310724.xls,16,A136,2024-07-31,16.0,16.0,16.0
344,A1361078310820.xls,17,A136,2020-08-31,17.0,17.0,17.0
345,A1361078310821.xls,15,A136,2021-08-31,15.0,15.0,15.0
346,A1361078310822.xls,17,A136,2022-08-31,17.0,17.0,17.0
347,A1361078310823.xls,16,A136,2023-08-31,16.0,16.0,16.0
348,A1361078310824.xls,16,A136,2024-08-31,16.0,16.0,16.0
349,A1361078311020.xls,18,A136,2020-10-31,18.0,18.0,18.0
350,A1361078311021.xls,15,A136,2021-10-31,15.0,15.0,15.0
351,A1361078311022.xls,16,A136,2022-10-31,16.0,16.0,16.0
352,A1361078311023.xls,16,A136,2023-10-31,16.0,16.0,16.0
353,A1361078311024.xls,16,A136,2024-10-31,16.0,16.0,16.0
354,A1361078311220.xls,17,A136,2020-12-31,17.0,17.0,17.0
355,A1361078311221.xls,16,A136,2021-12-31,16.0,16.0,16.0
356,A1361078311222.xls,18,A136,2022-12-31,18.0,18.0,18.0
357,A1361078311223.xls,16,A136,2023-12-31,16.0,16.0,16.0
358,A1361078311224.xls,15,A136,2024-12-31,15.0,15.0,15.0
359,A1381078280221.xls,39,A138,2021-02-28,39.0,39.0,39.0
360,A1381078280222.xls,36,A138,2022-02-28,36.0,36.0,36.0
361,A1381078280223.xls,44,A138,2023-02-28,44.0,44.0,44.0
362,A1381078290220.xls,Error: Number of passed names did not match number of header fields in the file (sheet: ITRS2_URT_RECEIPTS),,,,,
363,A1381078290224.xls,37,A138,2024-02-29,139.0,102.0,102.0
364,A1381078300420.xls,32,A138,2020-04-30,32.0,32.0,32.0
365,A1381078300421.xls,46,A138,2021-04-30,46.0,46.0,46.0
366,A1381078300422.xls,46,A138,2022-04-30,46.0,46.0,46.0
367,A1381078300423.xls,42,A138,2023-04-30,42.0,42.0,42.0
368,A1381078300424.xls,38,A138,2024-04-30,100.0,62.0,62.0
