,INSTITUTIONCODE,REPORTINGDATE,DESCRIPTIONNO,PARTICULARS,AMOUNT
81,M631,2024-06-30,21,     (d) Accrued Interest on Loans ,0.0
82,M392,2024-06-30,22,     (e) Allowances for Probable Losses (Deduction) ,0.0
83,M392,2024-06-30,54,    (c) Capital Grants,0.0
84,M393,2024-06-30,21,     (d) Accrued Interest on Loans ,0.0
85,M393,2024-06-30,22,     (e) Allowances for Probable Losses (Deduction) ,0.0
86,M393,2024-06-30,31,    (e) Miscellaneous Assets,0.0
87,M393,2024-06-30,60,    (i) Other Reserves,0.0
88,M631,2024-06-30,25,    (b) Accumulated Depreciation (Deduction),0.0
89,M392,2024-06-30,3,    (b) Balances with  Banks and Financial Institutions (sum i:ii),12960000.0
90,M393,2024-06-30,30,    (d )Intangible Assets,0.0
91,M631,2024-06-30,56,    (e) Share Premium,0.0
92,M631,2024-06-30,58,    (g) Retained Earnings,0.0
93,M392,2024-06-30,7,    (d) MNOs Float  Balances,0.0
94,M393,2024-06-30,54,    (c) Capital Grants,0.0
95,M392,2024-06-30,33,7. TOTAL ASSETS ,257287500.0
96,M631,2024-06-30,33,7. TOTAL ASSETS ,42390000.0
97,M393,2024-06-30,28,    (b) Prepaid Expenses,0.0
98,M393,2024-06-30,32,    (f) Allowance for Probable Losses  (Deduction),0.0
99,M393,2024-06-30,58,    (g) Retained Earnings,1066479.0
100,M631,2024-06-30,6,    (c ) Balances with Microfinance Service Providers,0.0
101,M631,2024-06-30,26,6. OTHER ASSETS (sum a:e less f),0.0
102,M631,2024-06-30,59,    (h) Profit/Loss,2390000.0
103,M392,2024-06-30,43,           (i) Borrowings from Banks and Financial Institutions ,0.0
104,M392,2024-06-30,56,    (e) Share Premium,0.0
105,M393,2024-06-30,55, (d) Donations,0.0
106,M392,2024-06-30,59,    (h) Profit/Loss,11402820.0
107,M393,2024-06-30,51,15. TOTAL CAPITAL (sum a:i),21066479.0
108,M631,2024-06-30,46,10. CASH COLLATERAL/LOAN INSURANCE GUARANTEES/COMPULSORY SAVINGS,0.0
109,M393,2024-06-30,47,11.TAX PAYABLES,0.0
110,M393,2024-06-30,23,"5. PROPERTY, PLANT AND EQUIPMENT -NET (a -b)",2432634.0
111,M631,2024-06-30,51,15. TOTAL CAPITAL (sum a:i),42390000.0
112,M392,2024-06-30,58,    (g) Retained Earnings,7600000.0
113,M393,2024-06-30,6,    (c ) Balances with Microfinance Service Providers,0.0
114,M393,2024-06-30,53,    (b) Paid-up Preference Shares,0.0
115,M631,2024-06-30,16,    (b) Allowance for Probable Losses (Deduction),0.0
116,M631,2024-06-30,34,8. LIABILITIES,0.0
117,M392,2024-06-30,15,    (a) Equity Investment,0.0
118,M392,2024-06-30,39,          (iii) Borrowing from Shareholders   ,66100000.0
119,M392,2024-06-30,44,           (ii) Borrowing from Shareholders   ,0.0
120,M393,2024-06-30,36,     (a)Borrowings in Tanzania (sum i:v),0.0
121,M392,2024-06-30,24,"    (a) Property, Plant and Equipment",13700000.0
122,M392,2024-06-30,41,          (v) Other Borrowings,0.0
123,M393,2024-06-30,15,    (a) Equity Investment,0.0
124,M392,2024-06-30,37,           (i) Borrowings from Banks and Financial Institutions ,0.0
125,M392,2024-06-30,49,13. OTHER PAYABLES AND ACCRUALS,34884680.0
126,M631,2024-06-30,7,    (d) MNOs Float  Balances,0.0
127,M631,2024-06-30,44,           (ii) Borrowing from Shareholders   ,0.0
128,M631,2024-06-30,55, (d) Donations,0.0
129,M392,2024-06-30,47,11.TAX PAYABLES,0.0
130,M631,2024-06-30,54,    (c) Capital Grants,0.0
131,M393,2024-06-30,10,    (b) Other Government Securities,0.0
132,M393,2024-06-30,12,    (d) Others,0.0
133,M393,2024-06-30,13,   (e) Allowance for Probable Losses (Deduction),0.0
134,M002,2024-06-30,54,    (c) Capital Grants,0.0
135,M002,2024-06-30,60,    (i) Other Reserves,52708500.0
136,M002,2024-06-30,28,    (b) Prepaid Expenses,0.0
137,M002,2024-06-30,53,    (b) Paid-up Preference Shares,0.0
138,M002,2024-06-30,5,(ii) Agent-Banking Balances,0.0
139,M002,2024-06-30,32,    (f) Allowance for Probable Losses  (Deduction),0.0
140,M002,2024-06-30,48,12. DIVIDEND PAYABLES,0.0
141,M002,2024-06-30,56,    (e) Share Premium,0.0
142,M002,2024-06-30,24,"    (a) Property, Plant and Equipment",127815285.0
143,M002,2024-06-30,25,    (b) Accumulated Depreciation (Deduction),29065000.0
144,M002,2024-06-30,36,     (a)Borrowings in Tanzania (sum i:v),0.0
145,M002,2024-06-30,57,    (f) General Reserves,0.0
146,M002,2024-06-30,4,(i) Non-Agent Banking  Balances,13298086.0
147,M002,2024-06-30,9,    (a )Treasury Bills,0.0
148,M002,2024-06-30,35,9.  BORROWINGS (sum a:b),0.0
149,M002,2024-06-30,47,11.TAX PAYABLES,0.0
150,M002,2024-06-30,58,    (g) Retained Earnings,275306065.0
151,M002,2024-06-30,59,    (h) Profit/Loss,5703485.0
152,M002,2024-06-30,12,    (d) Others,0.0
153,M002,2024-06-30,16,    (b) Allowance for Probable Losses (Deduction),0.0
154,M002,2024-06-30,18,     (a) Loans to Clients,589667871.0
155,M002,2024-06-30,8,2. INVESTMENT IN DEBT SECURITIES - NET (Sum a:d minus e),0.0
156,M002,2024-06-30,11,    (c) Private Securities,0.0
157,M002,2024-06-30,40,          (iv) Borrowing from Public through Debt Securities ,0.0
158,M002,2024-06-30,45,           (iii) Other Borrowings,0.0
159,M002,2024-06-30,15,    (a) Equity Investment,0.0
160,M002,2024-06-30,34,8. LIABILITIES,0.0
161,M002,2024-06-30,17,4. LOANS - NET (sum a:d less e),738341346.0
162,M002,2024-06-30,27,    (a) Receivables,41417200.0
163,M002,2024-06-30,41,          (v) Other Borrowings,0.0
164,M002,2024-06-30,7,    (d) MNOs Float  Balances,0.0
165,M002,2024-06-30,13,   (e) Allowance for Probable Losses (Deduction),0.0
166,M002,2024-06-30,14,3. EQUITY INVESTMENTS - NET (a - b),0.0
167,M002,2024-06-30,23,"5. PROPERTY, PLANT AND EQUIPMENT -NET (a -b)",98750285.0
168,M002,2024-06-30,46,10. CASH COLLATERAL/LOAN INSURANCE GUARANTEES/COMPULSORY SAVINGS,0.0
169,M002,2024-06-30,1,1. CASH AND CASH EQUIVALENTS (sum a:d),265961719.0
170,M002,2024-06-30,30,    (d )Intangible Assets,0.0
171,M002,2024-06-30,39,          (iii) Borrowing from Shareholders   ,0.0
172,M002,2024-06-30,50,14. TOTAL LIABILITIES (sum 9:13),10752500.0
173,M002,2024-06-30,22,     (e) Allowances for Probable Losses (Deduction) ,0.0
174,M002,2024-06-30,43,           (i) Borrowings from Banks and Financial Institutions ,0.0
175,M002,2024-06-30,55, (d) Donations,0.0
176,M002,2024-06-30,6,    (c ) Balances with Microfinance Service Providers,0.0
177,M002,2024-06-30,19,     (b) Loan to Staff and Related Parties,0.0
178,M002,2024-06-30,31,    (e) Miscellaneous Assets,0.0
179,M002,2024-06-30,42,     (b)Borrowings from Abroad (sum i:iii),0.0
180,M002,2024-06-30,51,15. TOTAL CAPITAL (sum a:i),1133718050.0
181,M002,2024-06-30,2,    (a) Cash in Hand,252663633.0
182,M002,2024-06-30,3,    (b) Balances with  Banks and Financial Institutions (sum i:ii),13298086.0
183,M002,2024-06-30,26,6. OTHER ASSETS (sum a:e less f),41417200.0
184,M002,2024-06-30,29,    (c )Deffered Tax Assets,0.0
185,M002,2024-06-30,52,    (a) Paid-up Ordinary Share Capital,800000000.0
186,M002,2024-06-30,10,    (b) Other Government Securities,0.0
187,M002,2024-06-30,49,13. OTHER PAYABLES AND ACCRUALS,10752500.0
188,M002,2024-06-30,61,16. TOTAL LIABILITIES AND CAPITAL (14+15),1144470550.0
189,M002,2024-06-30,20,     (c)Loans to other Microfinance Service Providers,0.0
190,M002,2024-06-30,21,     (d) Accrued Interest on Loans ,148673475.0
191,M002,2024-06-30,33,7. TOTAL ASSETS ,1144470550.0
192,M002,2024-06-30,37,           (i) Borrowings from Banks and Financial Institutions ,0.0
193,M002,2024-06-30,38,          (ii) Borrowings from Other Microfinance Service Providers  ,0.0
194,M002,2024-06-30,44,           (ii) Borrowing from Shareholders   ,0.0
195,M631,2024-06-30,30,    (d )Intangible Assets,0.0
196,M392,2024-06-30,51,15. TOTAL CAPITAL (sum a:i),156302820.0
197,M393,2024-06-30,20,     (c)Loans to other Microfinance Service Providers,0.0
198,M393,2024-06-30,42,     (b)Borrowings from Abroad (sum i:iii),0.0
199,M631,2024-06-30,22,     (e) Allowances for Probable Losses (Deduction) ,0.0
200,M392,2024-06-30,26,6. OTHER ASSETS (sum a:e less f),5414600.0
201,M392,2024-06-30,45,           (iii) Other Borrowings,0.0
202,M392,2024-06-30,55, (d) Donations,0.0
203,M393,2024-06-30,49,13. OTHER PAYABLES AND ACCRUALS,0.0
204,M631,2024-06-30,12,    (d) Others,0.0
205,M392,2024-06-30,42,     (b)Borrowings from Abroad (sum i:iii),0.0
206,M393,2024-06-30,27,    (a) Receivables,1350000.0
207,M392,2024-06-30,34,8. LIABILITIES,0.0
208,M392,2024-06-30,53,    (b) Paid-up Preference Shares,0.0
209,M393,2024-06-30,2,    (a) Cash in Hand,4900000.0
210,M392,2024-06-30,1,1. CASH AND CASH EQUIVALENTS (sum a:d),18560000.0
211,M393,2024-06-30,24,"    (a) Property, Plant and Equipment",2432634.0
212,M392,2024-06-30,21,     (d) Accrued Interest on Loans ,56102400.0
213,M393,2024-06-30,18,     (a) Loans to Clients,10675000.0
214,M631,2024-06-30,8,2. INVESTMENT IN DEBT SECURITIES - NET (Sum a:d minus e),0.0
215,M631,2024-06-30,49,13. OTHER PAYABLES AND ACCRUALS,0.0
216,M392,2024-06-30,29,    (c )Deffered Tax Assets,0.0
217,M392,2024-06-30,60,    (i) Other Reserves,0.0
218,M631,2024-06-30,37,           (i) Borrowings from Banks and Financial Institutions ,0.0
219,M392,2024-06-30,4,(i) Non-Agent Banking  Balances,12960000.0
220,M631,2024-06-30,31,    (e) Miscellaneous Assets,0.0
221,M631,2024-06-30,45,           (iii) Other Borrowings,0.0
222,M392,2024-06-30,11,    (c) Private Securities,0.0
223,M392,2024-06-30,32,    (f) Allowance for Probable Losses  (Deduction),0.0
224,M392,2024-06-30,46,10. CASH COLLATERAL/LOAN INSURANCE GUARANTEES/COMPULSORY SAVINGS,0.0
225,M631,2024-06-30,53,    (b) Paid-up Preference Shares,0.0
226,M631,2024-06-30,57,    (f) General Reserves,0.0
227,M631,2024-06-30,60,    (i) Other Reserves,0.0
228,M392,2024-06-30,9,    (a )Treasury Bills,0.0
229,M392,2024-06-30,57,    (f) General Reserves,37300000.0
230,M631,2024-06-30,10,    (b) Other Government Securities,0.0
231,M393,2024-06-30,17,4. LOANS - NET (sum a:d less e),10675000.0
232,M393,2024-06-30,56,    (e) Share Premium,0.0
233,M392,2024-06-30,35,9.  BORROWINGS (sum a:b),66100000.0
234,M393,2024-06-30,34,8. LIABILITIES,0.0
235,M631,2024-06-30,38,          (ii) Borrowings from Other Microfinance Service Providers  ,0.0
236,M631,2024-06-30,41,          (v) Other Borrowings,0.0
237,M631,2024-06-30,52,    (a) Paid-up Ordinary Share Capital,40000000.0
238,M392,2024-06-30,18,     (a) Loans to Clients,164710500.0
239,M392,2024-06-30,36,     (a)Borrowings in Tanzania (sum i:v),66100000.0
240,M631,2024-06-30,5,(ii) Agent-Banking Balances,0.0
241,M631,2024-06-30,23,"5. PROPERTY, PLANT AND EQUIPMENT -NET (a -b)",0.0
242,M631,2024-06-30,27,    (a) Receivables,0.0
243,M392,2024-06-30,2,    (a) Cash in Hand,5600000.0
244,M392,2024-06-30,12,    (d) Others,0.0
245,M392,2024-06-30,28,    (b) Prepaid Expenses,0.0
246,M392,2024-06-30,30,    (d )Intangible Assets,1100000.0
247,MG41,2024-06-30,6,    (c ) Balances with Microfinance Service Providers,0.0
248,M412,2024-06-30,23,"5. PROPERTY, PLANT AND EQUIPMENT -NET (a -b)",9693750.0
249,MG41,2024-06-30,31,    (e) Miscellaneous Assets,0.0
250,MG41,2024-06-30,3,    (b) Balances with  Banks and Financial Institutions (sum i:ii),0.0
251,MG41,2024-06-30,38,          (ii) Borrowings from Other Microfinance Service Providers  ,0.0
252,MG41,2024-06-30,42,     (b)Borrowings from Abroad (sum i:iii),0.0
253,M412,2024-06-30,24,"    (a) Property, Plant and Equipment",9693750.0
254,MG41,2024-06-30,51,15. TOTAL CAPITAL (sum a:i),26975233.0
255,M412,2024-06-30,19,     (b) Loan to Staff and Related Parties,0.0
256,M412,2024-06-30,40,          (iv) Borrowing from Public through Debt Securities ,0.0
257,M412,2024-06-30,45,           (iii) Other Borrowings,0.0
258,M412,2024-06-30,58,    (g) Retained Earnings,27203853.0
259,M412,2024-06-30,61,16. TOTAL LIABILITIES AND CAPITAL (14+15),81546310.27
260,MG41,2024-06-30,34,8. LIABILITIES,0.0
261,M412,2024-06-30,5,(ii) Agent-Banking Balances,15477975.0
262,M412,2024-06-30,39,          (iii) Borrowing from Shareholders   ,0.0
263,MG41,2024-06-30,15,    (a) Equity Investment,0.0
264,MG41,2024-06-30,19,     (b) Loan to Staff and Related Parties,0.0
265,MG41,2024-06-30,1,1. CASH AND CASH EQUIVALENTS (sum a:d),18391996.0
266,MG41,2024-06-30,58,    (g) Retained Earnings,-9501052.0
267,M412,2024-06-30,18,     (a) Loans to Clients,51787085.0
268,MG41,2024-06-30,16,    (b) Allowance for Probable Losses (Deduction),0.0
269,M412,2024-06-30,17,4. LOANS - NET (sum a:d less e),51787085.0
270,M412,2024-06-30,52,    (a) Paid-up Ordinary Share Capital,20000000.0
271,MG41,2024-06-30,36,     (a)Borrowings in Tanzania (sum i:v),0.0
272,MG41,2024-06-30,25,    (b) Accumulated Depreciation (Deduction),1449981.0
273,M412,2024-06-30,48,12. DIVIDEND PAYABLES,0.0
274,M412,2024-06-30,37,           (i) Borrowings from Banks and Financial Institutions ,0.0
275,MG41,2024-06-30,4,(i) Non-Agent Banking  Balances,0.0
276,MG41,2024-06-30,32,    (f) Allowance for Probable Losses  (Deduction),0.0
277,M412,2024-06-30,31,    (e) Miscellaneous Assets,0.0
278,M412,2024-06-30,50,14. TOTAL LIABILITIES (sum 9:13),16662365.51
279,M412,2024-06-30,59,    (h) Profit/Loss,17680091.76
280,MG41,2024-06-30,8,2. INVESTMENT IN DEBT SECURITIES - NET (Sum a:d minus e),0.0
281,MG41,2024-06-30,48,12. DIVIDEND PAYABLES,0.0
282,M412,2024-06-30,7,    (d) MNOs Float  Balances,0.0
283,MG41,2024-06-30,27,    (a) Receivables,0.0
284,M412,2024-06-30,32,    (f) Allowance for Probable Losses  (Deduction),0.0
285,M412,2024-06-30,33,7. TOTAL ASSETS ,81546310.0
286,M412,2024-06-30,41,          (v) Other Borrowings,0.0
287,M412,2024-06-30,60,    (i) Other Reserves,0.0
288,MG41,2024-06-30,35,9.  BORROWINGS (sum a:b),0.0
289,M412,2024-06-30,6,    (c ) Balances with Microfinance Service Providers,0.0
290,M412,2024-06-30,53,    (b) Paid-up Preference Shares,0.0
291,M412,2024-06-30,36,     (a)Borrowings in Tanzania (sum i:v),16662365.51
292,MG41,2024-06-30,18,     (a) Loans to Clients,1863495.0
293,M412,2024-06-30,10,    (b) Other Government Securities,0.0
294,MG41,2024-06-30,29,    (c )Deffered Tax Assets,0.0
295,M412,2024-06-30,30,    (d )Intangible Assets,0.0
296,M412,2024-06-30,51,15. TOTAL CAPITAL (sum a:i),64883944.76
297,MG41,2024-06-30,59,    (h) Profit/Loss,-4824591.0
298,M412,2024-06-30,11,    (c) Private Securities,0.0
299,MG41,2024-06-30,33,7. TOTAL ASSETS ,26975233.0
300,MG41,2024-06-30,39,          (iii) Borrowing from Shareholders   ,0.0
301,MG41,2024-06-30,50,14. TOTAL LIABILITIES (sum 9:13),0.0
302,M412,2024-06-30,54,    (c) Capital Grants,0.0
303,M412,2024-06-30,57,    (f) General Reserves,0.0
304,M412,2024-06-30,4,(i) Non-Agent Banking  Balances,0.0
305,MG41,2024-06-30,24,"    (a) Property, Plant and Equipment",8305000.0
306,MG41,2024-06-30,52,    (a) Paid-up Ordinary Share Capital,41300876.0
307,MG41,2024-06-30,41,          (v) Other Borrowings,0.0
308,M412,2024-06-30,43,           (i) Borrowings from Banks and Financial Institutions ,0.0
309,M412,2024-06-30,55, (d) Donations,0.0
310,MG41,2024-06-30,10,    (b) Other Government Securities,0.0
311,M412,2024-06-30,49,13. OTHER PAYABLES AND ACCRUALS,0.0
312,MG41,2024-06-30,17,4. LOANS - NET (sum a:d less e),1728218.0
313,M412,2024-06-30,21,     (d) Accrued Interest on Loans ,0.0
314,M412,2024-06-30,28,    (b) Prepaid Expenses,0.0
315,MG41,2024-06-30,21,     (d) Accrued Interest on Loans ,0.0
316,MG41,2024-06-30,47,11.TAX PAYABLES,0.0
317,M412,2024-06-30,35,9.  BORROWINGS (sum a:b),16662365.51
318,MG41,2024-06-30,60,    (i) Other Reserves,0.0
319,MG41,2024-06-30,45,           (iii) Other Borrowings,0.0
320,M412,2024-06-30,44,           (ii) Borrowing from Shareholders   ,0.0
321,M412,2024-06-30,20,     (c)Loans to other Microfinance Service Providers,0.0
322,MG41,2024-06-30,61,16. TOTAL LIABILITIES AND CAPITAL (14+15),26975233.0
323,M412,2024-06-30,22,     (e) Allowances for Probable Losses (Deduction) ,0.0
324,M412,2024-06-30,12,    (d) Others,0.0
325,M412,2024-06-30,47,11.TAX PAYABLES,0.0
326,MG41,2024-06-30,14,3. EQUITY INVESTMENTS - NET (a - b),0.0
327,M412,2024-06-30,38,          (ii) Borrowings from Other Microfinance Service Providers  ,16662365.51
328,MG41,2024-06-30,2,    (a) Cash in Hand,18391996.0
329,MG41,2024-06-30,26,6. OTHER ASSETS (sum a:e less f),0.0
330,MG41,2024-06-30,57,    (f) General Reserves,0.0
331,M412,2024-06-30,29,    (c )Deffered Tax Assets,0.0
332,MG41,2024-06-30,11,    (c) Private Securities,0.0
333,MG41,2024-06-30,12,    (d) Others,0.0
334,M412,2024-06-30,26,6. OTHER ASSETS (sum a:e less f),0.0
335,M412,2024-06-30,46,10. CASH COLLATERAL/LOAN INSURANCE GUARANTEES/COMPULSORY SAVINGS,0.0
336,MG41,2024-06-30,13,   (e) Allowance for Probable Losses (Deduction),0.0
337,M412,2024-06-30,42,     (b)Borrowings from Abroad (sum i:iii),0.0
338,MG41,2024-06-30,20,     (c)Loans to other Microfinance Service Providers,0.0
339,MG41,2024-06-30,23,"5. PROPERTY, PLANT AND EQUIPMENT -NET (a -b)",6855019.0
340,MG41,2024-06-30,49,13. OTHER PAYABLES AND ACCRUALS,0.0
341,MG41,2024-06-30,9,    (a )Treasury Bills,0.0
342,MG41,2024-06-30,55, (d) Donations,0.0
343,M412,2024-06-30,8,2. INVESTMENT IN DEBT SECURITIES - NET (Sum a:d minus e),0.0
344,M412,2024-06-30,34,8. LIABILITIES,0.0
345,M412,2024-06-30,15,    (a) Equity Investment,0.0
346,M412,2024-06-30,16,    (b) Allowance for Probable Losses (Deduction),0.0
347,M412,2024-06-30,27,    (a) Receivables,0.0
348,M412,2024-06-30,1,1. CASH AND CASH EQUIVALENTS (sum a:d),20065475.0
349,M412,2024-06-30,56,    (e) Share Premium,0.0
350,MG41,2024-06-30,22,     (e) Allowances for Probable Losses (Deduction) ,135277.0
351,MG41,2024-06-30,40,          (iv) Borrowing from Public through Debt Securities ,0.0
352,MG41,2024-06-30,43,           (i) Borrowings from Banks and Financial Institutions ,0.0
353,MG41,2024-06-30,54,    (c) Capital Grants,0.0
354,M412,2024-06-30,3,    (b) Balances with  Banks and Financial Institutions (sum i:ii),15477975.0
355,M412,2024-06-30,14,3. EQUITY INVESTMENTS - NET (a - b),0.0
356,MG41,2024-06-30,46,10. CASH COLLATERAL/LOAN INSURANCE GUARANTEES/COMPULSORY SAVINGS,0.0
357,MG41,2024-06-30,7,    (d) MNOs Float  Balances,0.0
358,MG41,2024-06-30,28,    (b) Prepaid Expenses,0.0
359,MG41,2024-06-30,30,    (d )Intangible Assets,0.0
360,M412,2024-06-30,25,    (b) Accumulated Depreciation (Deduction),0.0
361,MG41,2024-06-30,44,           (ii) Borrowing from Shareholders   ,0.0
362,MG41,2024-06-30,37,           (i) Borrowings from Banks and Financial Institutions ,0.0
363,M412,2024-06-30,2,    (a) Cash in Hand,4587500.0
364,MG41,2024-06-30,53,    (b) Paid-up Preference Shares,0.0
365,M412,2024-06-30,13,   (e) Allowance for Probable Losses (Deduction),0.0
366,MG41,2024-06-30,5,(ii) Agent-Banking Balances,0.0
367,MG41,2024-06-30,56,    (e) Share Premium,0.0
368,M412,2024-06-30,9,    (a )Treasury Bills,0.0
369,M081,2024-06-30,14,3. EQUITY INVESTMENTS - NET (a - b),0.0
370,MF08,2024-06-30,49,13. OTHER PAYABLES AND ACCRUALS,4612000.0
371,M081,2024-06-30,17,4. LOANS - NET (sum a:d less e),0.0
372,M081,2024-06-30,23,"5. PROPERTY, PLANT AND EQUIPMENT -NET (a -b)",0.0
373,M876,2024-06-30,33,7. TOTAL ASSETS ,99050000.0
374,MA73,2024-06-30,36,     (a)Borrowings in Tanzania (sum i:v),0.0
375,MA73,2024-06-30,15,    (a) Equity Investment,0.0
376,M876,2024-06-30,44,           (ii) Borrowing from Shareholders   ,0.0
377,M876,2024-06-30,54,    (c) Capital Grants,0.0
378,MF08,2024-06-30,30,    (d )Intangible Assets,0.0
379,M081,2024-06-30,39,          (iii) Borrowing from Shareholders   ,0.0
